Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
-0.254732,51.589876,1,Slight,2,1,2006-03-31,6,17:38:00,30,E09000003,3,5,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000516
-0.195547,51.571535,1,Slight,1,1,2006-03-28,3,19:08:00,30,E09000003,3,502,6,30,6,2,3,598,0,5,1,4,2,0,0,1,1,E01000146
-0.187554,51.605584,1,Serious,1,1,2006-03-26,1,23:03:00,30,E09000003,3,598,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000298
-0.174443,51.633617,1,Slight,2,1,2006-03-27,2,13:22:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000273
-0.197861,51.589646,1,Slight,3,1,2006-03-22,4,17:00:00,30,E09000003,3,406,3,50,7,2,6,0,0,5,1,1,1,0,0,1,2,E01000203
-0.18205,51.652979,1,Slight,1,1,2006-03-23,5,21:50:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000247
-0.226667,51.572819,1,Serious,1,1,2006-04-06,5,09:05:00,30,E09000003,3,406,7,40,5,4,3,406,0,0,1,1,1,0,0,1,1,E01000307
-0.199697,51.583379,1,Slight,1,1,2006-03-30,5,17:51:00,30,E09000003,3,598,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01000211
-0.220681,51.574617,1,Slight,2,1,2006-03-07,3,15:35:00,30,E09000003,3,406,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000221
-0.177006,51.591302,1,Slight,1,1,2006-03-24,6,16:05:00,30,E09000003,3,504,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000183
-0.180991,51.585519,1,Slight,1,1,2006-03-31,6,19:00:00,30,E09000003,3,1,3,40,6,2,5,0,0,5,4,1,1,0,0,1,2,E01000207
-0.152,51.606288,1,Slight,1,1,2006-04-18,3,11:33:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000164
-0.166089,51.607858,1,Slight,2,1,2006-04-05,4,13:02:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000315
-0.174869,51.630206,1,Slight,1,1,2006-03-31,6,21:30:00,30,E09000003,3,5109,6,30,3,2,3,1000,0,5,4,1,1,0,0,1,2,E01000273
-0.158903,51.61413,1,Slight,2,1,2006-04-01,7,01:10:00,30,E09000003,4,550,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01000159
-0.234224,51.582645,1,Slight,2,1,2006-03-22,4,15:40:00,30,E09000003,3,504,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,2,E01000309
-0.16084,51.619826,1,Slight,2,1,2006-04-01,7,01:10:00,30,E09000003,4,550,6,30,3,4,4,550,0,0,4,1,1,0,0,1,2,E01000159
-0.250068,51.613547,1,Slight,2,1,2006-03-03,6,23:38:00,30,E09000003,3,5100,6,30,2,4,3,5100,0,0,4,1,1,0,0,1,1,E01000234
-0.16395,51.5893,1,Slight,2,2,2006-04-02,1,23:35:00,30,E09000003,3,1000,6,30,6,2,3,504,0,5,4,1,1,0,0,1,2,E01000181
-0.163631,51.611507,1,Slight,2,1,2006-03-27,2,19:00:00,30,E09000003,3,1003,6,30,3,4,6,0,0,0,4,8,1,0,0,1,1,E01000315
-0.164664,51.589491,1,Serious,2,1,2006-03-27,2,16:20:00,30,E09000003,3,504,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01000181
-0.277437,51.619347,1,Slight,3,1,2006-03-23,5,15:03:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000191
-0.213704,51.586921,1,Slight,2,1,2006-04-02,1,13:15:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000236
-0.273767,51.624688,1,Slight,2,1,2006-03-30,5,22:00:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01000186
-0.175442,51.61232,1,Slight,1,1,2006-03-28,3,11:54:00,30,E09000003,3,1003,6,30,6,2,3,1000,0,5,1,1,1,0,0,1,1,E01000323
-0.254673,51.621528,1,Slight,2,1,2006-04-03,2,08:10:00,30,E09000003,3,1,1,30,1,4,3,1,0,0,1,1,1,0,0,1,2,E01000264
-0.235917,51.602274,1,Slight,1,1,2006-04-04,3,15:52:00,30,E09000003,3,1,7,30,5,4,6,0,0,0,1,1,1,0,0,1,1,E01000260
-0.241728,51.642467,1,Slight,1,1,2006-04-05,4,08:40:00,30,E09000003,3,411,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000290
-0.234241,51.582196,1,Slight,1,1,2006-04-06,5,16:21:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000309
-0.256259,51.610312,1,Serious,1,1,2006-04-04,3,22:30:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000132
-0.258517,51.59281,1,Slight,3,2,2006-03-31,6,15:01:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000588
-0.208222,51.568492,1,Slight,2,1,2006-04-06,5,14:18:00,30,E09000003,3,41,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000222
-0.200897,51.582229,1,Slight,2,1,2006-04-09,1,11:21:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000216
-0.24891,51.613619,1,Slight,1,1,2006-04-06,5,12:07:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000264
-0.22092,51.575879,1,Slight,2,1,2006-04-08,7,15:15:00,30,E09000003,6,0,6,30,3,2,6,0,0,5,1,1,1,0,0,1,2,E01000307
-0.21246,51.563431,1,Slight,2,1,2006-04-10,2,09:30:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000142
-0.262008,51.595919,1,Slight,1,2,2006-04-03,2,14:20:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000588
-0.254831,51.621171,1,Slight,2,1,2006-04-09,1,19:40:00,30,E09000003,3,1,1,30,1,4,3,5109,0,0,1,1,1,0,0,1,2,E01000264
-0.256626,51.615802,1,Slight,2,1,2006-04-20,5,11:58:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000234
-0.183413,51.59356,1,Slight,1,1,2006-03-24,6,16:00:00,30,E09000003,3,504,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000210
-0.175309,51.630033,1,Slight,1,1,2006-03-14,3,20:30:00,30,E09000003,3,5109,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000281
-0.260166,51.62143,1,Slight,2,1,2006-04-25,3,18:30:00,30,E09000003,3,41,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000232
-0.155334,51.605981,1,Slight,2,1,2006-04-13,5,12:09:00,30,E09000003,3,406,6,30,8,4,6,0,0,0,1,1,2,0,0,1,1,E01000164
-0.221681,51.58965,1,Slight,2,2,2006-04-09,1,18:41:00,30,E09000003,3,504,6,30,6,2,3,502,0,5,1,8,2,0,0,1,1,E01000243
-0.181942,51.655675,1,Slight,3,1,2006-04-23,1,13:30:00,30,E09000003,6,0,6,30,8,4,6,0,0,0,1,1,2,0,0,1,2,E01000247
-0.266726,51.600935,1,Serious,1,1,2006-04-18,3,14:50:00,30,E09000003,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,1,2,E01000129
-0.140464,51.627059,1,Serious,2,1,2006-04-04,3,15:30:00,30,E09000003,5,0,6,30,6,4,5,0,0,0,1,1,1,0,0,1,1,E01000122
-0.163143,51.630743,1,Serious,2,2,2006-04-17,2,17:28:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000272
-0.18203,51.60289,1,Serious,4,1,2006-04-07,6,14:36:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000298
-0.213633,51.588718,1,Slight,2,1,2006-04-16,1,12:02:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000238
-0.278015,51.611712,1,Serious,1,2,2006-04-04,3,17:05:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01000194
-0.181429,51.59263,1,Slight,2,1,2006-03-29,4,21:48:00,30,E09000003,3,504,6,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01000210
-0.163164,51.605205,1,Slight,2,2,2006-04-23,1,09:18:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000184
-0.176771,51.618816,1,Serious,2,1,2006-04-27,5,20:29:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01000321
-0.176641,51.618454,1,Slight,2,1,2006-04-18,3,12:10:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000322
-0.168027,51.638643,1,Slight,3,3,2006-04-29,7,15:45:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000267
-0.172696,51.601576,1,Slight,2,1,2006-04-30,1,15:45:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000184
-0.231497,51.571093,1,Slight,2,1,2006-05-02,3,21:47:00,30,E09000003,3,406,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000223
-0.163574,51.655839,1,Slight,1,1,2006-04-20,5,14:55:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000166
-0.187016,51.651707,1,Serious,2,2,2006-03-27,2,17:30:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01000246
-0.232617,51.586847,1,Serious,3,1,2006-04-20,5,09:50:00,30,E09000003,3,41,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000239
-0.159282,51.615485,1,Slight,2,1,2006-04-05,4,18:25:00,30,E09000003,4,550,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000159
-0.261542,51.627026,1,Slight,1,1,2006-05-08,2,09:22:00,30,E09000003,1,1,3,70,0,-1,-1,0,0,0,1,5,5,0,0,2,1,E01000231
-0.233245,51.57067,1,Slight,1,1,2006-04-24,2,15:00:00,30,E09000003,3,406,7,30,8,4,3,406,0,0,1,1,1,0,0,1,2,E01000499
-0.211786,51.558565,1,Serious,2,1,2006-05-03,4,09:40:00,30,E09000003,3,407,6,30,7,2,3,407,0,5,1,1,1,0,0,1,2,E01000141
-0.158961,51.612692,1,Slight,2,1,2006-05-05,6,20:45:00,30,E09000003,3,1003,6,30,6,2,4,550,0,5,4,1,1,0,0,1,1,E01000162
-0.203451,51.561405,1,Slight,2,1,2006-04-23,1,10:36:00,30,E09000003,3,41,3,30,6,2,3,407,0,5,1,2,2,0,0,1,1,E01000138
-0.173633,51.571016,1,Serious,1,1,2006-04-17,2,18:00:00,30,E09000003,4,519,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000206
-0.278169,51.611444,1,Slight,1,1,2006-05-03,4,07:32:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000194
-0.255211,51.637633,1,Serious,1,1,2006-05-06,7,05:54:00,30,E09000003,3,1,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01000228
-0.233649,51.608625,1,Serious,2,1,2006-04-19,4,18:20:00,30,E09000003,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01000256
-0.193522,51.589849,1,Slight,2,1,2006-04-21,6,07:00:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000211
-0.255974,51.602664,1,Slight,2,2,2006-05-04,5,21:10:00,30,E09000003,6,0,6,30,2,4,6,0,0,0,4,1,1,0,0,1,1,E01000128
-0.227296,51.58263,1,Serious,3,2,2006-05-02,3,14:07:00,30,E09000003,3,41,6,30,6,2,4,551,0,5,1,1,1,0,0,1,1,E01000310
-0.176641,51.622051,1,Slight,1,1,2006-04-24,2,09:30:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000320
-0.211645,51.558473,1,Slight,2,1,2006-05-03,4,16:15:00,30,E09000003,3,407,6,30,6,2,3,407,0,5,1,1,1,0,0,1,1,E01000141
-0.165107,51.650108,1,Slight,2,1,2006-04-24,2,23:00:00,30,E09000003,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01000169
-0.2317,51.647622,1,Slight,2,2,2006-05-05,6,14:53:00,30,E09000003,3,411,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000253
-0.203015,51.572459,1,Slight,2,1,2006-03-30,5,19:10:00,30,E09000003,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01000145
-0.199277,51.663316,1,Slight,2,1,2006-03-14,3,19:26:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,4,2,2,0,0,2,1,E01000254
-0.2258,51.598794,1,Slight,1,1,2006-05-14,1,23:10:00,30,E09000003,3,1,3,40,3,4,6,0,0,7,4,1,1,0,0,1,2,E01000240
-0.187217,51.646674,1,Slight,2,2,2006-02-01,4,18:00:00,30,E09000003,3,110,7,30,5,4,3,1000,0,0,4,1,1,0,0,1,2,E01000268
-0.250816,51.58658,1,Slight,2,1,2006-03-29,4,20:55:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01000516
-0.147878,51.601098,1,Slight,2,1,2006-05-14,1,17:47:00,30,E09000003,4,550,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000156
-0.163802,51.585791,1,Slight,2,1,2006-04-23,1,15:32:00,30,E09000003,3,1000,6,30,3,4,3,1000,0,0,1,1,2,0,0,1,1,E01000208
-0.232962,51.607715,1,Serious,2,2,2006-05-03,4,09:00:00,30,E09000003,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000256
-0.173204,51.650054,1,Slight,2,1,2006-05-15,2,13:50:00,30,E09000003,3,110,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000171
-0.19554,51.571715,1,Slight,2,1,2006-05-15,2,15:00:00,30,E09000003,3,502,6,30,7,2,3,598,0,5,1,1,1,0,0,1,2,E01000146
-0.232372,51.600602,1,Slight,1,1,2006-05-19,6,00:54:00,30,E09000003,3,1,3,50,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000240
-0.235773,51.576194,1,Slight,1,1,2006-04-29,7,14:30:00,30,E09000003,1,1,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000305
-0.276967,51.612686,1,Slight,1,1,2006-04-25,3,12:36:00,30,E09000003,3,5100,6,30,3,4,6,0,0,4,1,1,2,0,0,1,1,E01000193
-0.180991,51.585519,1,Slight,2,1,2006-04-30,1,23:35:00,30,E09000003,3,1,3,40,6,2,5,0,0,5,4,2,2,0,0,1,1,E01000207
-0.203743,51.56132,1,Slight,2,1,2006-05-11,5,19:08:00,30,E09000003,3,41,6,30,6,2,3,407,0,5,4,1,1,0,0,1,1,E01000139
-0.200752,51.633394,1,Slight,2,1,2006-05-02,3,15:20:00,30,E09000003,3,5109,6,30,3,4,3,5109,0,0,1,1,1,0,0,1,1,E01000279
-0.18597,51.569229,1,Slight,1,1,2006-05-01,2,09:33:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01000136
-0.195583,51.599772,1,Slight,1,1,2006-05-03,4,19:49:00,30,E09000003,3,598,6,30,3,4,3,598,0,1,4,1,1,0,0,1,1,E01000196
-0.159379,51.616656,1,Slight,1,1,2006-05-03,4,08:45:00,30,E09000003,4,550,6,30,3,4,5,0,0,0,1,1,1,0,0,1,2,E01000159
-0.161699,51.605721,1,Slight,1,2,2006-05-04,5,14:46:00,30,E09000003,3,406,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000315
-0.207696,51.578196,1,Slight,1,1,2006-05-17,4,14:37:00,30,E09000003,3,502,6,30,6,4,6,0,0,4,1,1,1,0,0,1,1,E01000218
-0.164296,51.587867,1,Slight,1,1,2006-05-10,4,07:55:00,30,E09000003,3,1000,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01000182
-0.201467,51.633585,1,Slight,2,3,2006-05-16,3,21:46:00,30,E09000003,3,5109,6,30,7,4,6,0,0,0,4,1,1,0,0,1,1,E01000279
-0.276063,51.613661,1,Slight,2,1,2006-05-01,2,14:45:00,30,E09000003,3,5100,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01000193
-0.187224,51.646494,1,Slight,2,1,2006-05-08,2,16:25:00,30,E09000003,3,1000,6,30,7,2,6,0,0,5,1,2,2,0,0,1,2,E01000268
-0.221456,51.591714,1,Slight,2,1,2006-05-09,3,09:00:00,30,E09000003,4,552,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000243
-0.276661,51.613131,1,Slight,1,1,2006-05-13,7,01:36:00,30,E09000003,3,5100,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000192
-0.193522,51.589849,1,Serious,2,2,2006-05-16,3,18:49:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000211
-0.231058,51.586104,1,Slight,2,2,2006-05-18,5,13:10:00,30,E09000003,3,41,6,30,6,2,3,41,0,0,1,1,1,0,0,1,2,E01000237
-0.212065,51.580871,1,Slight,2,1,2006-05-22,2,20:14:00,30,E09000003,3,502,6,30,6,2,3,406,0,5,4,2,2,0,0,1,1,E01000215
-0.201083,51.573868,1,Slight,1,1,2006-05-18,5,14:03:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000144
-0.206655,51.560645,1,Slight,2,2,2006-05-21,1,08:35:00,30,E09000003,3,407,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01000139
-0.177596,51.645086,1,Slight,2,1,2006-05-20,7,07:57:00,30,E09000003,5,0,6,30,6,4,5,0,0,0,1,1,1,0,0,1,1,E01000268
-0.187517,51.613766,1,Slight,1,1,2006-05-10,4,08:34:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000301
-0.238232,51.576051,1,Slight,2,1,2006-05-20,7,15:25:00,30,E09000003,3,5,6,30,3,2,3,5,0,0,1,1,1,0,0,1,2,E01000305
-0.272582,51.617837,1,Slight,2,1,2006-05-21,1,11:20:00,30,E09000003,3,5100,6,30,1,4,6,0,0,0,1,1,1,0,0,1,2,E01000192
-0.188297,51.605056,1,Slight,2,1,2006-05-13,7,16:14:00,30,E09000003,3,598,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000298
-0.158662,51.612958,1,Slight,1,1,2006-05-16,3,21:01:00,30,E09000003,4,550,6,30,7,2,3,1003,0,5,4,2,2,0,0,1,1,E01000162
-0.268807,51.614544,1,Slight,2,2,2006-05-16,3,15:45:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000227
-0.239849,51.575266,1,Slight,2,1,2006-05-22,2,17:43:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000305
-0.157084,51.644766,1,Slight,3,2,2006-05-23,3,18:05:00,30,E09000003,3,110,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01000173
-0.214021,51.578832,1,Slight,2,1,2006-05-24,4,17:30:00,30,E09000003,3,406,3,40,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01000215
-0.148112,51.60245,1,Slight,2,1,2006-05-07,1,01:15:00,30,E09000003,4,550,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000156
-0.211495,51.580682,1,Slight,2,1,2006-05-06,7,03:00:00,30,E09000003,3,502,6,30,3,4,3,406,0,0,4,1,1,0,0,1,1,E01000215
-0.164126,51.588493,1,Slight,2,1,2006-05-03,4,15:45:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000182
-0.24253,51.60678,1,Serious,2,1,2006-05-29,2,14:15:00,30,E09000003,1,1,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000260
-0.17575,51.626263,1,Serious,1,2,2006-05-04,5,22:45:00,30,E09000003,3,1000,3,40,6,4,6,0,0,1,4,1,1,0,0,1,1,E01000284
-0.189214,51.647334,1,Slight,1,1,2006-05-28,1,11:15:00,30,E09000003,3,1000,6,30,6,4,6,0,0,4,1,1,1,0,0,1,1,E01000268
-0.231352,51.571091,1,Slight,2,1,2006-06-07,4,23:45:00,30,E09000003,3,406,1,30,1,4,3,5,0,4,4,1,1,0,0,1,1,E01000223
-0.270826,51.603243,1,Slight,1,1,2006-05-10,4,17:00:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002123
-0.234118,51.592805,1,Slight,2,1,2006-05-16,3,09:00:00,30,E09000003,3,41,3,40,3,2,5,0,0,5,1,1,1,0,0,1,1,E01000239
-0.166439,51.584843,1,Slight,2,1,2006-05-18,5,17:40:00,30,E09000003,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01000208
-0.25674,51.605283,1,Slight,1,1,2006-05-21,1,09:11:00,30,E09000003,5,0,6,30,6,4,5,0,0,0,1,2,2,0,0,1,1,E01000130
-0.250278,51.581806,1,Slight,2,1,2006-04-27,5,09:15:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000312
-0.168686,51.61869,1,Slight,2,1,2006-05-21,1,11:00:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,2,E01000320
-0.211096,51.561432,1,Slight,1,1,2006-05-31,4,17:50:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000142
-0.219686,51.585303,1,Slight,1,1,2006-05-25,5,15:35:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000237
-0.175602,51.626351,1,Serious,1,1,2006-05-26,6,14:20:00,30,E09000003,3,1000,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01000284
-0.25416,51.627366,1,Slight,3,1,2006-05-31,4,22:37:00,30,E09000003,3,1,3,50,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01000228
-0.15099,51.620481,1,Slight,2,1,2006-06-01,5,10:00:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000158
-0.147274,51.62303,1,Serious,2,3,2006-06-06,3,15:40:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000123
-0.19325,51.57123,1,Slight,2,1,2006-06-04,1,15:10:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000146
-0.236152,51.573861,1,Slight,2,1,2006-05-31,4,19:30:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000305
-0.262967,51.604836,1,Slight,2,1,2006-05-31,4,15:40:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000127
-0.207842,51.603827,1,Slight,2,1,2006-06-09,6,16:00:00,30,E09000003,4,552,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000204
-0.174746,51.629665,1,Slight,2,2,2006-06-10,7,17:30:00,30,E09000003,3,109,6,30,3,2,3,1000,0,5,1,1,1,0,0,1,2,E01000281
-0.25612,51.62146,1,Slight,2,2,2006-06-11,1,19:45:00,30,E09000003,3,41,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000231
-0.235639,51.602,1,Slight,2,1,2006-02-01,4,17:50:00,30,E09000003,3,1,3,50,6,2,5,0,0,5,4,1,1,0,0,1,1,E01000260
-0.218092,51.578085,1,Slight,1,2,2006-06-03,7,19:15:00,30,E09000003,6,0,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01000310
-0.15589,51.624334,1,Slight,2,1,2006-05-31,4,09:32:00,30,E09000003,3,109,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000265
-0.227004,51.582716,1,Serious,1,1,2006-06-09,6,11:55:00,30,E09000003,5,0,6,30,6,2,4,551,0,0,1,1,1,0,0,1,1,E01000310
-0.202818,51.646914,1,Slight,2,2,2006-06-10,7,13:19:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000292
-0.159241,51.605773,1,Slight,1,1,2006-06-11,1,14:40:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000315
-0.187406,51.605671,1,Slight,3,1,2006-06-11,1,00:31:00,30,E09000003,3,598,6,30,3,4,6,0,0,0,4,1,1,4,2,1,1,E01000298
-0.139718,51.609961,1,Slight,2,3,2006-05-17,4,16:57:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000160
-0.176552,51.635089,1,Serious,3,1,2006-06-15,5,14:30:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000271
-0.249837,51.585756,1,Slight,2,2,2006-06-07,4,12:30:00,30,E09000003,3,5,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01000513
-0.178946,51.611386,1,Slight,2,1,2006-06-13,3,08:10:00,30,E09000003,3,598,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01000302
-0.274182,51.621367,1,Slight,2,1,2006-06-07,4,21:30:00,30,E09000003,3,41,6,30,6,2,3,41,0,0,4,1,1,0,0,1,2,E01000191
-0.277413,51.612332,1,Slight,3,3,2006-06-18,1,14:36:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000194
-0.241349,51.577536,1,Serious,1,1,2006-06-04,1,10:30:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000308
-0.220965,51.574711,1,Slight,2,1,2006-05-26,6,15:00:00,30,E09000003,3,406,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000221
-0.174276,51.59099,1,Slight,2,1,2006-06-06,3,08:50:00,30,E09000003,3,504,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000183
-0.275902,51.614109,1,Slight,2,1,2006-06-09,6,11:50:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000192
-0.222161,51.57365,1,Slight,2,1,2006-06-09,6,14:25:00,30,E09000003,3,406,6,30,5,4,6,0,0,0,1,1,1,0,0,1,1,E01000221
-0.212964,51.557953,1,Slight,1,1,2006-06-16,6,16:00:00,30,E09000003,3,407,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000141
-0.225678,51.587102,1,Slight,1,1,2006-06-12,2,10:32:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000237
